#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Jan 1981 to Sep 2023
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER BHV: Beehive Meadow, CA
#	SNOW COURSE/AERIAL MARKER BEM: Bell Meadow, CA
#	SNOW COURSE/AERIAL MARKER 19L35: Bond Pass, CA
#	COOPERATOR SNOW SENSORS DAN: Dana Meadows, CA
#	SNOW COURSE/AERIAL MARKER DAN: Dana Meadows, CA
#	COOPERATOR SNOW SENSORS GIN: Gin Flat, CA
#	COOPERATOR SNOW SENSORS HRS: Horse Meadow CDWR, CA
#	SNOW COURSE/AERIAL MARKER HRS: Horse Meadow CDWR, CA
#	SNOW COURSE/AERIAL MARKER HCL: Huckleberry Lake, CA
#	SNOW COURSE/AERIAL MARKER KRC: Kerrick Corral, CA
#	SNOW COURSE/AERIAL MARKER LKB: Lower Kibbie, CA
#	COOPERATOR SNOW SENSORS KIB: Lower Kibbie Ridge, CA
#	SNOW COURSE/AERIAL MARKER 19L36: New Grace Meadow, CA
#	COOPERATOR SNOW SENSORS PDS: Paradise Meadow, CA
#	SNOW COURSE/AERIAL MARKER PDS: Paradise Meadow, CA
#	SNOW COURSE/AERIAL MARKER RFM: Rafferty Meadows, CA
#	SNOW COURSE/AERIAL MARKER SAS: Sachse Springs, CA
#	COOPERATOR SNOW SENSORS SLI: Slide Canyon, CA
#	SNOW COURSE/AERIAL MARKER SPF: Spotted Fawn, CA
#	COOPERATOR SNOW SENSORS TUM: Tuolumne Meadows, CA
#	SNOW COURSE/AERIAL MARKER TUM: Tuolumne Meadows, CA
#	SNOW COURSE/AERIAL MARKER UKR: Upper Kibbie Ridge, CA
#	SNOW COURSE/AERIAL MARKER VNN: Vernon Lake, CA
#	COOPERATOR SNOW SENSORS WHW: White Wolf, CA
#	SNOW COURSE/AERIAL MARKER WLW: Wilma Lake, CA
# 
# Data items provided in this file:
#
# Element Name           Value Type  Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Value       None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly; Date Range: Jan 1981 to Sep 2023
#
# As of: Oct 4, 2023, 11:46:33 AM GMT-08:00
#
Date,Beehive Meadow (BHV) Snow Water Equivalent (in) Start of Month Values,Bell Meadow (BEM) Snow Water Equivalent (in) Start of Month Values,Bond Pass (19L35) Snow Water Equivalent (in) Start of Month Values,Dana Meadows (DAN) Snow Water Equivalent (in) Start of Month Values,Dana Meadows (DAN) Snow Water Equivalent (in) Start of Month Values,Gin Flat (GIN) Snow Water Equivalent (in) Start of Month Values,Horse Meadow CDWR (HRS) Snow Water Equivalent (in) Start of Month Values,Horse Meadow CDWR (HRS) Snow Water Equivalent (in) Start of Month Values,Huckleberry Lake (HCL) Snow Water Equivalent (in) Start of Month Values,Kerrick Corral (KRC) Snow Water Equivalent (in) Start of Month Values,Lower Kibbie (LKB) Snow Water Equivalent (in) Start of Month Values,Lower Kibbie Ridge (KIB) Snow Water Equivalent (in) Start of Month Values,New Grace Meadow (19L36) Snow Water Equivalent (in) Start of Month Values,Paradise Meadow (PDS) Snow Water Equivalent (in) Start of Month Values,Paradise Meadow (PDS) Snow Water Equivalent (in) Start of Month Values,Rafferty Meadows (RFM) Snow Water Equivalent (in) Start of Month Values,Sachse Springs (SAS) Snow Water Equivalent (in) Start of Month Values,Slide Canyon (SLI) Snow Water Equivalent (in) Start of Month Values,Spotted Fawn (SPF) Snow Water Equivalent (in) Start of Month Values,Tuolumne Meadows (TUM) Snow Water Equivalent (in) Start of Month Values,Tuolumne Meadows (TUM) Snow Water Equivalent (in) Start of Month Values,Upper Kibbie Ridge (UKR) Snow Water Equivalent (in) Start of Month Values,Vernon Lake (VNN) Snow Water Equivalent (in) Start of Month Values,White Wolf (WHW) Snow Water Equivalent (in) Start of Month Values,Wilma Lake (WLW) Snow Water Equivalent (in) Start of Month Values
Apr 1981,21.1,15.0,28.4,25.0,26.5,,,31.1,29.6,20.9,20.4,,31.7,29.1,29.5,24.4,28.0,,31.4,22.7,15.7,14.0,17.7,,28.7
Apr 1982,23.9,23.9,62.1,42.0,49.8,38.4,,58.0,49.3,28.9,24.9,,67.0,,48.5,49.0,47.8,,52.6,36.2,31.4,18.5,25.9,,57.6
Apr 1983,55.8,47.8,83.7,64.3,62.7,70.9,,83.8,81.9,61.2,61.1,,87.0,71.8,82.8,56.2,87.6,88.0,81.3,52.1,50.8,57.6,54.3,,88.8
Apr 1984,7.3,1.9,51.3,39.4,36.5,19.6,,50.5,45.2,10.0,11.2,11.2,54.9,,41.1,39.5,29.8,56.0,47.9,22.8,23.5,3.2,15.6,,50.0
Apr 1985,25.6,17.1,36.4,29.9,25.1,31.8,30.1,41.4,32.2,22.2,31.1,32.7,42.5,42.7,37.2,27.7,37.4,45.0,,19.6,17.5,20.8,26.1,,40.4
Apr 1986,19.0,10.7,68.4,42.5,47.9,,,71.5,66.4,26.2,30.0,,73.7,,57.8,56.3,54.7,,69.0,36.0,37.1,15.3,27.7,,65.7
Apr 1987,12.0,6.1,19.5,17.7,18.5,14.0,22.5,24.6,20.5,14.5,11.3,10.1,26.2,,19.7,16.4,22.3,21.4,20.9,11.2,11.0,7.7,12.2,,22.9
Apr 1988,3.3,0.0,18.1,,19.7,9.1,21.1,20.2,16.0,2.5,1.9,1.6,23.0,19.0,13.4,19.1,10.1,21.3,18.0,8.8,7.7,0.0,3.6,,18.6
Apr 1989,22.1,9.1,38.8,29.0,26.3,19.7,39.2,40.5,34.5,15.6,19.7,17.0,40.3,30.9,36.0,30.5,32.7,40.2,37.5,16.2,16.2,9.6,22.1,,39.0
Apr 1990,9.1,2.8,24.1,15.4,15.2,14.4,28.0,29.3,20.5,8.5,8.5,7.2,28.1,19.8,18.7,17.4,16.7,23.2,22.1,8.4,12.0,4.7,5.8,,23.1
Apr 1991,19.9,17.3,32.3,20.6,21.4,26.9,26.6,27.7,29.6,22.4,23.9,18.6,26.8,28.4,26.9,24.7,29.2,28.5,29.4,13.1,14.6,21.9,17.3,,30.1
Apr 1992,13.0,10.0,23.9,18.6,17.3,18.7,24.2,27.6,22.3,16.3,16.5,10.7,27.1,19.3,22.4,19.7,22.5,22.0,26.3,10.3,11.4,9.9,10.4,,22.1
Apr 1993,36.1,28.4,64.5,37.4,41.1,45.5,66.7,66.1,65.2,44.0,43.5,36.7,66.7,,61.7,45.3,59.4,57.0,70.1,32.4,38.6,35.0,35.5,,64.0
Apr 1994,13.9,4.1,23.5,15.9,17.6,16.7,23.5,25.6,23.1,10.3,12.8,10.0,27.8,19.0,21.3,16.7,20.3,21.6,25.1,10.2,10.9,7.6,7.0,,24.8
Apr 1995,39.2,29.9,86.0,,52.5,45.5,74.5,81.5,75.0,41.7,43.7,37.4,83.1,66.7,58.2,58.0,71.4,68.7,79.2,33.4,44.4,34.7,,,71.2
Apr 1996,29.2,14.7,50.1,34.0,35.7,23.4,46.4,48.3,43.9,27.9,23.9,22.4,50.7,47.0,44.3,40.9,38.3,47.8,49.3,22.6,28.8,18.3,26.0,,48.5
Apr 1997,13.6,5.3,61.4,36.8,40.0,26.6,54.9,58.8,51.0,18.2,19.4,14.7,,,54.7,50.8,33.5,58.9,56.0,25.3,32.2,9.9,14.9,,62.4
Apr 1998,39.4,30.9,59.4,40.5,45.2,40.3,61.5,76.6,56.2,42.6,43.9,37.8,61.2,,,47.9,53.9,53.0,63.0,34.9,37.6,35.2,35.6,,60.0
Apr 1999,24.5,16.1,51.4,28.1,33.0,25.4,49.1,49.4,44.3,28.1,25.5,25.4,55.2,44.2,51.0,35.2,43.3,45.8,50.5,21.4,24.7,19.1,27.0,,
Apr 2000,18.2,13.2,44.0,25.5,28.3,17.8,47.8,52.0,45.0,26.2,19.0,14.3,48.6,37.7,42.8,27.8,40.0,36.0,47.0,18.5,23.3,14.0,24.1,,45.2
Apr 2001,16.8,9.7,25.4,13.7,21.0,22.4,23.6,35.7,26.4,18.4,17.3,9.7,31.0,,24.2,17.0,27.3,21.6,32.2,11.4,17.0,12.3,13.4,,26.0
Apr 2002,21.5,10.9,40.5,25.1,28.4,22.6,35.4,42.3,37.1,20.8,26.4,20.1,47.1,37.7,39.4,33.4,38.5,36.0,41.6,16.6,21.2,22.4,20.9,,42.0
Apr 2003,12.5,6.0,35.4,20.1,24.3,18.8,32.7,34.5,27.6,15.4,9.4,2.7,34.5,25.3,24.8,30.0,22.8,30.8,30.7,13.2,18.5,4.3,10.4,,28.3
Apr 2004,19.5,9.1,37.1,25.5,27.4,23.3,33.4,40.0,34.7,20.3,16.9,7.6,44.7,37.1,38.7,29.5,32.0,40.6,40.0,15.9,19.4,11.3,18.1,,41.9
Apr 2005,44.5,32.0,59.6,29.3,40.3,42.0,,62.5,59.6,47.1,48.0,37.1,66.8,56.7,61.6,47.9,63.1,53.0,68.5,26.6,34.2,39.0,40.0,,65.1
Apr 2006,27.6,18.5,62.4,38.5,47.6,24.5,67.6,60.1,52.2,29.1,27.6,22.4,72.8,53.3,50.0,51.6,40.9,58.3,54.5,32.1,32.7,21.7,27.9,,60.6
Apr 2007,9.8,2.0,20.7,26.3,20.1,14.5,31.8,29.1,23.0,12.0,5.0,1.1,30.4,19.7,22.6,19.3,17.7,21.6,28.2,7.3,8.4,2.4,8.4,,24.9
Apr 2008,25.8,17.0,39.2,25.9,31.7,29.0,42.8,39.6,37.2,27.2,25.5,22.4,45.0,31.7,37.6,32.6,35.8,34.8,41.3,17.1,22.0,20.7,24.9,27.4,40.6
